AIRLINE,SOURCE,DESTINATION,NEAREST_AIRPORT_SOURCE,NEAREST_AIRPORT_DESTINATION,IATA_SOURCE,IATA_DESTINATION,ROUTE,DEP_TIME,ARRIVAL_TIME,DURATION,TOTAL_STOPS,ADDITIONAL_INFO,PRICE,DIRECT_CONNECTING
Jetstar Asia,Manila,Singapore,Ninoy Aquino International Airport,Singapore Changi Airport,MNL,SIN,MNL -> SIN,23:25:00.000,03:10:00.000,03:45,0,In-flight meal not included,13760,Direct
Singapore Airlines,Singapore,Ho Chi Minh City,Singapore Changi Airport,Tan Son Nhat International Airport,SIN,SGN,SIN -> SGN,21:02:00.000,23:12:00.000,02:10,0,Business class,16200,Direct
Vietnam Airlines,Singapore,Ho Chi Minh City,Singapore Changi Airport,Tan Son Nhat International Airport,SIN,SGN,SIN -> SGN,21:47:00.000,23:57:00.000,02:10,0,No info,13000,Direct
VietJet Air,Singapore,Ho Chi Minh City,Singapore Changi Airport,Tan Son Nhat International Airport,SIN,SGN,SIN -> SGN,22:32:00.000,00:42:00.000,02:10,0,In-flight meal not included,9050,Direct
Scoot,Singapore,Ho Chi Minh City,Singapore Changi Airport,Tan Son Nhat International Airport,SIN,SGN,SIN -> SGN,23:17:00.000,01:27:00.000,02:10,0,In-flight meal not included,9750,Direct
Jetstar Asia,Singapore,Ho Chi Minh City,Singapore Changi Airport,Tan Son Nhat International Airport,SIN,SGN,SIN -> SGN,00:02:00.000,02:12:00.000,02:10,0,In-flight meal not included,9700,Direct
Bamboo Airways,Singapore,Ho Chi Minh City,Singapore Changi Airport,Tan Son Nhat International Airport,SIN,SGN,SIN -> SGN,00:47:00.000,02:57:00.000,02:10,0,No info,13700,Direct
Singapore Airlines,Ho Chi Minh City,Singapore,Tan Son Nhat International Airport,Singapore Changi Airport,SGN,SIN,SGN -> SIN,21:39:00.000,23:49:00.000,02:10,0,Business class,16200,Direct
Vietnam Airlines,Ho Chi Minh City,Singapore,Tan Son Nhat International Airport,Singapore Changi Airport,SGN,SIN,SGN -> SIN,22:24:00.000,00:34:00.000,02:10,0,No info,13000,Direct
VietJet Air,Ho Chi Minh City,Singapore,Tan Son Nhat International Airport,Singapore Changi Airport,SGN,SIN,SGN -> SIN,23:09:00.000,01:19:00.000,02:10,0,In-flight meal not included,9050,Direct
Scoot,Ho Chi Minh City,Singapore,Tan Son Nhat International Airport,Singapore Changi Airport,SGN,SIN,SGN -> SIN,23:54:00.000,02:04:00.000,02:10,0,In-flight meal not included,9750,Direct
Jetstar Asia,Ho Chi Minh City,Singapore,Tan Son Nhat International Airport,Singapore Changi Airport,SGN,SIN,SGN -> SIN,00:39:00.000,02:49:00.000,02:10,0,In-flight meal not included,9700,Direct
Bamboo Airways,Ho Chi Minh City,Singapore,Tan Son Nhat International Airport,Singapore Changi Airport,SGN,SIN,SGN -> SIN,01:24:00.000,03:34:00.000,02:10,0,No info,13700,Direct
Singapore Airlines,Singapore,Hanoi,Singapore Changi Airport,Noi Bai International Airport,SIN,HAN,SIN -> HAN,22:16:00.000,01:46:00.000,03:30,0,Business class,22140,Direct
Vietnam Airlines,Singapore,Hanoi,Singapore Changi Airport,Noi Bai International Airport,SIN,HAN,SIN -> HAN,23:01:00.000,02:31:00.000,03:30,0,No info,17675,Direct
Bamboo Airways,Singapore,Hanoi,Singapore Changi Airport,Noi Bai International Airport,SIN,HAN,SIN -> HAN,23:46:00.000,03:16:00.000,03:30,0,No info,17515,Direct
VietJet Air,Singapore,Hanoi,Singapore Changi Airport,Noi Bai International Airport,SIN,HAN,SIN -> HAN,00:31:00.000,04:01:00.000,03:30,0,In-flight meal not included,12434,Direct
Scoot,Singapore,Hanoi,Singapore Changi Airport,Noi Bai International Airport,SIN,HAN,SIN -> HAN,01:16:00.000,04:46:00.000,03:30,0,In-flight meal not included,13300,Direct
Singapore Airlines,Hanoi,Singapore,Noi Bai International Airport,Singapore Changi Airport,HAN,SIN,HAN -> SIN,22:53:00.000,02:23:00.000,03:30,0,Business class,22140,Direct
Vietnam Airlines,Hanoi,Singapore,Noi Bai International Airport,Singapore Changi Airport,HAN,SIN,HAN -> SIN,23:38:00.000,03:08:00.000,03:30,0,No info,17675,Direct
Bamboo Airways,Hanoi,Singapore,Noi Bai International Airport,Singapore Changi Airport,HAN,SIN,HAN -> SIN,00:23:00.000,03:53:00.000,03:30,0,No info,17515,Direct
VietJet Air,Hanoi,Singapore,Noi Bai International Airport,Singapore Changi Airport,HAN,SIN,HAN -> SIN,01:08:00.000,04:38:00.000,03:30,0,In-flight meal not included,12434,Direct
Scoot,Hanoi,Singapore,Noi Bai International Airport,Singapore Changi Airport,HAN,SIN,HAN -> SIN,01:53:00.000,05:23:00.000,03:30,0,In-flight meal not included,13300,Direct
Singapore Airlines,Singapore,Delhi,Singapore Changi Airport,Indira Gandhi International Airport,SIN,DEL,SIN -> DEL,23:30:00.000,05:20:00.000,05:50,0,Business class,34560,Direct
Air India,Singapore,Delhi,Singapore Changi Airport,Indira Gandhi International Airport,SIN,DEL,SIN -> DEL,00:15:00.000,06:05:00.000,05:50,0,No info,26490,Direct
Vistara,Singapore,Delhi,Singapore Changi Airport,Indira Gandhi International Airport,SIN,DEL,SIN -> DEL,01:00:00.000,06:50:00.000,05:50,0,Business class,29300,Direct
IndiGo,Singapore,Delhi,Singapore Changi Airport,Indira Gandhi International Airport,SIN,DEL,SIN -> DEL,01:45:00.000,07:35:00.000,05:50,0,In-flight meal not included,19310,Direct
Scoot,Singapore,Delhi,Singapore Changi Airport,Indira Gandhi International Airport,SIN,DEL,SIN -> DEL,02:30:00.000,08:20:00.000,05:50,0,In-flight meal not included,20200,Direct
SriLankan Airlines,Singapore,Delhi,Singapore Changi Airport,Indira Gandhi International Airport,SIN,DEL,SIN -> DEL,03:15:00.000,12:10:00.000,08:55,1,1 Long layover,27490,Connecting
Singapore Airlines,Delhi,Singapore,Indira Gandhi International Airport,Singapore Changi Airport,DEL,SIN,DEL -> SIN,00:07:00.000,05:57:00.000,05:50,0,Business class,34560,Direct
Air India,Delhi,Singapore,Indira Gandhi International Airport,Singapore Changi Airport,DEL,SIN,DEL -> SIN,00:52:00.000,06:42:00.000,05:50,0,No info,26490,Direct
Vistara,Delhi,Singapore,Indira Gandhi International Airport,Singapore Changi Airport,DEL,SIN,DEL -> SIN,01:37:00.000,07:27:00.000,05:50,0,Business class,29300,Direct
IndiGo,Delhi,Singapore,Indira Gandhi International Airport,Singapore Changi Airport,DEL,SIN,DEL -> SIN,02:22:00.000,08:12:00.000,05:50,0,In-flight meal not included,19310,Direct
Scoot,Delhi,Singapore,Indira Gandhi International Airport,Singapore Changi Airport,DEL,SIN,DEL -> SIN,03:07:00.000,08:57:00.000,05:50,0,In-flight meal not included,20200,Direct
SriLankan Airlines,Delhi,Singapore,Indira Gandhi International Airport,Singapore Changi Airport,DEL,SIN,DEL -> SIN,03:52:00.000,12:47:00.000,08:55,1,1 Long layover,27490,Connecting
Singapore Airlines,Singapore,Mumbai,Singapore Changi Airport,Chhatrapati Shivaji Maharaj International Airport,SIN,BOM,SIN -> BOM,00:44:00.000,06:14:00.000,05:30,0,Business class,32940,Direct
Air India,Singapore,Mumbai,Singapore Changi Airport,Chhatrapati Shivaji Maharaj International Airport,SIN,BOM,SIN -> BOM,01:29:00.000,06:59:00.000,05:30,0,No info,25260,Direct
Vistara,Singapore,Mumbai,Singapore Changi Airport,Chhatrapati Shivaji Maharaj International Airport,SIN,BOM,SIN -> BOM,02:14:00.000,07:44:00.000,05:30,0,Business class,27950,Direct
IndiGo,Singapore,Mumbai,Singapore Changi Airport,Chhatrapati Shivaji Maharaj International Airport,SIN,BOM,SIN -> BOM,02:59:00.000,08:29:00.000,05:30,0,In-flight meal not included,18440,Direct
Scoot,Singapore,Mumbai,Singapore Changi Airport,Chhatrapati Shivaji Maharaj International Airport,SIN,BOM,SIN -> BOM,03:44:00.000,09:14:00.000,05:30,0,In-flight meal not included,19300,Direct
Singapore Airlines,Mumbai,Singapore,Chhatrapati Shivaji Maharaj International Airport,Singapore Changi Airport,BOM,SIN,BOM -> SIN,01:21:00.000,06:51:00.000,05:30,0,Business class,32940,Direct
Air India,Mumbai,Singapore,Chhatrapati Shivaji Maharaj International Airport,Singapore Changi Airport,BOM,SIN,BOM -> SIN,02:06:00.000,07:36:00.000,05:30,0,No info,25260,Direct
Vistara,Mumbai,Singapore,Chhatrapati Shivaji Maharaj International Airport,Singapore Changi Airport,BOM,SIN,BOM -> SIN,02:51:00.000,08:21:00.000,05:30,0,Business class,27950,Direct
IndiGo,Mumbai,Singapore,Chhatrapati Shivaji Maharaj International Airport,Singapore Changi Airport,BOM,SIN,BOM -> SIN,03:36:00.000,09:06:00.000,05:30,0,In-flight meal not included,18440,Direct
Scoot,Mumbai,Singapore,Chhatrapati Shivaji Maharaj International Airport,Singapore Changi Airport,BOM,SIN,BOM -> SIN,04:21:00.000,09:51:00.000,05:30,0,In-flight meal not included,19300,Direct
Singapore Airlines,Singapore,Bengaluru,Singapore Changi Airport,Kempegowda International Airport,SIN,BLR,SIN -> BLR,01:58:00.000,06:48:00.000,04:50,0,Business class,29700,Direct
Vistara,Singapore,Bengaluru,Singapore Changi Airport,Kempegowda International Airport,SIN,BLR,SIN -> BLR,02:43:00.000,07:33:00.000,04:50,0,Business class,25000,Direct
IndiGo,Singapore,Bengaluru,Singapore Changi Airport,Kempegowda International Airport,SIN,BLR,SIN -> BLR,03:28:00.000,08:18:00.000,04:50,0,In-flight meal not included,16450,Direct
Air India,Singapore,Bengaluru,Singapore Changi Airport,Kempegowda International Airport,SIN,BLR,SIN -> BLR,04:13:00.000,09:03:00.000,04:50,0,No info,23300,Direct
Scoot,Singapore,Bengaluru,Singapore Changi Airport,Kempegowda International Airport,SIN,BLR,SIN -> BLR,04:58:00.000,09:48:00.000,04:50,0,In-flight meal not included,17500,Direct
Singapore Airlines,Bengaluru,Singapore,Kempegowda International Airport,Singapore Changi Airport,BLR,SIN,BLR -> SIN,02:35:00.000,07:25:00.000,04:50,0,Business class,29700,Direct
Vistara,Bengaluru,Singapore,Kempegowda International Airport,Singapore Changi Airport,BLR,SIN,BLR -> SIN,03:20:00.000,08:10:00.000,04:50,0,Business class,25000,Direct
IndiGo,Bengaluru,Singapore,Kempegowda International Airport,Singapore Changi Airport,BLR,SIN,BLR -> SIN,04:05:00.000,08:55:00.000,04:50,0,In-flight meal not included,16450,Direct
Air India,Bengaluru,Singapore,Kempegowda International Airport,Singapore Changi Airport,BLR,SIN,BLR -> SIN,04:50:00.000,09:40:00.000,04:50,0,No info,23300,Direct
Scoot,Bengaluru,Singapore,Kempegowda International Airport,Singapore Changi Airport,BLR,SIN,BLR -> SIN,05:35:00.000,10:25:00.000,04:50,0,In-flight meal not included,17500,Direct
Singapore Airlines,Singapore,Hyderabad,Singapore Changi Airport,Rajiv Gandhi International Airport,SIN,HYD,SIN -> HYD,03:12:00.000,07:57:00.000,04:45,0,Business class,28620,Direct
Air India,Singapore,Hyderabad,Singapore Changi Airport,Rajiv Gandhi International Airport,SIN,HYD,SIN -> HYD,03:57:00.000,08:42:00.000,04:45,0,No info,21980,Direct
Vistara,Singapore,Hyderabad,Singapore Changi Airport,Rajiv Gandhi International Airport,SIN,HYD,SIN -> HYD,04:42:00.000,09:27:00.000,04:45,0,Business class,24350,Direct
IndiGo,Singapore,Hyderabad,Singapore Changi Airport,Rajiv Gandhi International Airport,SIN,HYD,SIN -> HYD,05:27:00.000,10:12:00.000,04:45,0,In-flight meal not included,16119,Direct
Scoot,Singapore,Hyderabad,Singapore Changi Airport,Rajiv Gandhi International Airport,SIN,HYD,SIN -> HYD,06:12:00.000,10:57:00.000,04:45,0,In-flight meal not included,16900,Direct
Singapore Airlines,Hyderabad,Singapore,Rajiv Gandhi International Airport,Singapore Changi Airport,HYD,SIN,HYD -> SIN,03:49:00.000,08:34:00.000,04:45,0,Business class,28620,Direct
Air India,Hyderabad,Singapore,Rajiv Gandhi International Airport,Singapore Changi Airport,HYD,SIN,HYD -> SIN,04:34:00.000,09:19:00.000,04:45,0,No info,21980,Direct
Vistara,Hyderabad,Singapore,Rajiv Gandhi International Airport,Singapore Changi Airport,HYD,SIN,HYD -> SIN,05:19:00.000,10:04:00.000,04:45,0,Business class,24350,Direct
IndiGo,Hyderabad,Singapore,Rajiv Gandhi International Airport,Singapore Changi Airport,HYD,SIN,HYD -> SIN,06:04:00.000,10:49:00.000,04:45,0,In-flight meal not included,16119,Direct
Scoot,Hyderabad,Singapore,Rajiv Gandhi International Airport,Singapore Changi Airport,HYD,SIN,HYD -> SIN,06:49:00.000,11:34:00.000,04:45,0,In-flight meal not included,16900,Direct
Singapore Airlines,Singapore,Chennai,Singapore Changi Airport,Chennai International Airport,SIN,MAA,SIN -> MAA,04:26:00.000,08:31:00.000,04:05,0,Business class,23760,Direct
Air India,Singapore,Chennai,Singapore Changi Airport,Chennai International Airport,SIN,MAA,SIN -> MAA,05:11:00.000,09:16:00.000,04:05,0,No info,18290,Direct
Vistara,Singapore,Chennai,Singapore Changi Airport,Chennai International Airport,SIN,MAA,SIN -> MAA,05:56:00.000,10:01:00.000,04:05,0,Business class,20300,Direct
IndiGo,Singapore,Chennai,Singapore Changi Airport,Chennai International Airport,SIN,MAA,SIN -> MAA,06:41:00.000,10:46:00.000,04:05,0,In-flight meal not included,13510,Direct
Scoot,Singapore,Chennai,Singapore Changi Airport,Chennai International Airport,SIN,MAA,SIN -> MAA,07:26:00.000,11:31:00.000,04:05,0,In-flight meal not included,14200,Direct
Singapore Airlines,Chennai,Singapore,Chennai International Airport,Singapore Changi Airport,MAA,SIN,MAA -> SIN,05:03:00.000,09:08:00.000,04:05,0,Business class,23760,Direct
Air India,Chennai,Singapore,Chennai International Airport,Singapore Changi Airport,MAA,SIN,MAA -> SIN,05:48:00.000,09:53:00.000,04:05,0,No info,18290,Direct
Vistara,Chennai,Singapore,Chennai International Airport,Singapore Changi Airport,MAA,SIN,MAA -> SIN,06:33:00.000,10:38:00.000,04:05,0,Business class,20300,Direct
IndiGo,Chennai,Singapore,Chennai International Airport,Singapore Changi Airport,MAA,SIN,MAA -> SIN,07:18:00.000,11:23:00.000,04:05,0,In-flight meal not included,13510,Direct
Scoot,Chennai,Singapore,Chennai International Airport,Singapore Changi Airport,MAA,SIN,MAA -> SIN,08:03:00.000,12:08:00.000,04:05,0,In-flight meal not included,14200,Direct
Singapore Airlines,Singapore,Colombo,Singapore Changi Airport,Bandaranaike International Airport,SIN,CMB,SIN -> CMB,05:40:00.000,09:15:00.000,03:35,0,Business class,22680,Direct
SriLankan Airlines,Singapore,Colombo,Singapore Changi Airport,Bandaranaike International Airport,SIN,CMB,SIN -> CMB,06:25:00.000,13:05:00.000,06:40,1,1 Long layover,17470,Connecting
Air India,Singapore,Colombo,Singapore Changi Airport,Bandaranaike International Airport,SIN,CMB,SIN -> CMB,07:10:00.000,10:45:00.000,03:35,0,No info,17720,Direct
Vistara,Singapore,Colombo,Singapore Changi Airport,Bandaranaike International Airport,SIN,CMB,SIN -> CMB,07:55:00.000,11:30:00.000,03:35,0,Business class,19650,Direct
IndiGo,Singapore,Colombo,Singapore Changi Airport,Bandaranaike International Airport,SIN,CMB,SIN -> CMB,08:40:00.000,12:15:00.000,03:35,0,In-flight meal not included,13180,Direct
Singapore Airlines,Colombo,Singapore,Bandaranaike International Airport,Singapore Changi Airport,CMB,SIN,CMB -> SIN,06:17:00.000,09:52:00.000,03:35,0,Business class,22680,Direct
SriLankan Airlines,Colombo,Singapore,Bandaranaike International Airport,Singapore Changi Airport,CMB,SIN,CMB -> SIN,07:02:00.000,13:42:00.000,06:40,1,1 Long layover,17470,Connecting
Air India,Colombo,Singapore,Bandaranaike International Airport,Singapore Changi Airport,CMB,SIN,CMB -> SIN,07:47:00.000,11:22:00.000,03:35,0,No info,17720,Direct
Vistara,Colombo,Singapore,Bandaranaike International Airport,Singapore Changi Airport,CMB,SIN,CMB -> SIN,08:32:00.000,12:07:00.000,03:35,0,Business class,19650,Direct
IndiGo,Colombo,Singapore,Bandaranaike International Airport,Singapore Changi Airport,CMB,SIN,CMB -> SIN,09:17:00.000,12:52:00.000,03:35,0,In-flight meal not included,13180,Direct
Singapore Airlines,Singapore,Shanghai,Singapore Changi Airport,Shanghai Pudong International Airport,SIN,PVG,SIN -> PVG,06:54:00.000,11:54:00.000,05:00,0,Business class,38880,Direct
China Eastern Airlines,Singapore,Shanghai,Singapore Changi Airport,Shanghai Pudong International Airport,SIN,PVG,SIN -> PVG,07:39:00.000,12:39:00.000,05:00,0,No info,29050,Direct
China Southern Airlines,Singapore,Shanghai,Singapore Changi Airport,Shanghai Pudong International Airport,SIN,PVG,SIN -> PVG,08:24:00.000,13:24:00.000,05:00,0,No info,28580,Direct
Air China,Singapore,Shanghai,Singapore Changi Airport,Shanghai Pudong International Airport,SIN,PVG,SIN -> PVG,09:09:00.000,14:09:00.000,05:00,0,No info,30270,Direct
Scoot,Singapore,Shanghai,Singapore Changi Airport,Shanghai Pudong International Airport,SIN,PVG,SIN -> PVG,09:54:00.000,14:54:00.000,05:00,0,In-flight meal not included,22600,Direct
XiamenAir,Singapore,Shanghai,Singapore Changi Airport,Shanghai Pudong International Airport,SIN,PVG,SIN -> PVG,10:39:00.000,18:19:00.000,07:40,1,In-flight meal not included,27890,Connecting
Singapore Airlines,Shanghai,Singapore,Shanghai Pudong International Airport,Singapore Changi Airport,PVG,SIN,PVG -> SIN,07:31:00.000,12:31:00.000,05:00,0,Business class,38880,Direct
China Eastern Airlines,Shanghai,Singapore,Shanghai Pudong International Airport,Singapore Changi Airport,PVG,SIN,PVG -> SIN,08:16:00.000,13:16:00.000,05:00,0,No info,29050,Direct
China Southern Airlines,Shanghai,Singapore,Shanghai Pudong International Airport,Singapore Changi Airport,PVG,SIN,PVG -> SIN,09:01:00.000,14:01:00.000,05:00,0,No info,28580,Direct
Air China,Shanghai,Singapore,Shanghai Pudong International Airport,Singapore Changi Airport,PVG,SIN,PVG -> SIN,09:46:00.000,14:46:00.000,05:00,0,No info,30270,Direct
Scoot,Shanghai,Singapore,Shanghai Pudong International Airport,Singapore Changi Airport,PVG,SIN,PVG -> SIN,10:31:00.000,15:31:00.000,05:00,0,In-flight meal not included,22600,Direct
XiamenAir,Shanghai,Singapore,Shanghai Pudong International Airport,Singapore Changi Airport,PVG,SIN,PVG -> SIN,11:16:00.000,18:56:00.000,07:40,1,In-flight meal not included,27890,Connecting
Singapore Airlines,Singapore,Taipei,Singapore Changi Airport,Taiwan Taoyuan International Airport,SIN,TPE,SIN -> TPE,08:08:00.000,12:48:00.000,04:40,0,Business class,33480,Direct
EVA Air,Singapore,Taipei,Singapore Changi Airport,Taiwan Taoyuan International Airport,SIN,TPE,SIN -> TPE,08:53:00.000,13:33:00.000,04:40,0,Business class,30320,Direct
China Airlines,Singapore,Taipei,Singapore Changi Airport,Taiwan Taoyuan International Airport,SIN,TPE,SIN -> TPE,09:38:00.000,14:18:00.000,04:40,0,Business class,29950,Direct
Scoot,Singapore,Taipei,Singapore Changi Airport,Taiwan Taoyuan International Airport,SIN,TPE,SIN -> TPE,10:23:00.000,15:03:00.000,04:40,0,In-flight meal not included,19350,Direct
Jetstar Asia,Singapore,Taipei,Singapore Changi Airport,Taiwan Taoyuan International Airport,SIN,TPE,SIN -> TPE,11:08:00.000,15:48:00.000,04:40,0,In-flight meal not included,18980,Direct
Singapore Airlines,Taipei,Singapore,Taiwan Taoyuan International Airport,Singapore Changi Airport,TPE,SIN,TPE -> SIN,08:45:00.000,13:25:00.000,04:40,0,Business class,33480,Direct
EVA Air,Taipei,Singapore,Taiwan Taoyuan International Airport,Singapore Changi Airport,TPE,SIN,TPE -> SIN,09:30:00.000,14:10:00.000,04:40,0,Business class,30320,Direct
China Airlines,Taipei,Singapore,Taiwan Taoyuan International Airport,Singapore Changi Airport,TPE,SIN,TPE -> SIN,10:15:00.000,14:55:00.000,04:40,0,Business class,29950,Direct
Scoot,Taipei,Singapore,Taiwan Taoyuan International Airport,Singapore Changi Airport,TPE,SIN,TPE -> SIN,11:00:00.000,15:40:00.000,04:40,0,In-flight meal not included,19350,Direct
Jetstar Asia,Taipei,Singapore,Taiwan Taoyuan International Airport,Singapore Changi Airport,TPE,SIN,TPE -> SIN,11:45:00.000,16:25:00.000,04:40,0,In-flight meal not included,18980,Direct
Singapore Airlines,Singapore,Denpasar (Bali),Singapore Changi Airport,Ngurah Rai International Airport,SIN,DPS,SIN -> DPS,09:22:00.000,11:57:00.000,02:35,0,Business class,15120,Direct
Garuda Indonesia,Singapore,Denpasar (Bali),Singapore Changi Airport,Ngurah Rai International Airport,SIN,DPS,SIN -> DPS,10:07:00.000,12:42:00.000,02:35,0,Business class,13130,Direct
Batik Air,Singapore,Denpasar (Bali),Singapore Changi Airport,Ngurah Rai International Airport,SIN,DPS,SIN -> DPS,10:52:00.000,13:27:00.000,02:35,0,No info,11700,Direct
Scoot,Singapore,Denpasar (Bali),Singapore Changi Airport,Ngurah Rai International Airport,SIN,DPS,SIN -> DPS,11:37:00.000,14:12:00.000,02:35,0,In-flight meal not included,9150,Direct
AirAsia,Singapore,Denpasar (Bali),Singapore Changi Airport,Ngurah Rai International Airport,SIN,DPS,SIN -> DPS,12:22:00.000,14:57:00.000,02:35,0,In-flight meal not included,8700,Direct
Singapore Airlines,Denpasar (Bali),Singapore,Ngurah Rai International Airport,Singapore Changi Airport,DPS,SIN,DPS -> SIN,09:59:00.000,12:34:00.000,02:35,0,Business class,15120,Direct
Garuda Indonesia,Denpasar (Bali),Singapore,Ngurah Rai International Airport,Singapore Changi Airport,DPS,SIN,DPS -> SIN,10:44:00.000,13:19:00.000,02:35,0,Business class,13130,Direct
Batik Air,Denpasar (Bali),Singapore,Ngurah Rai International Airport,Singapore Changi Airport,DPS,SIN,DPS -> SIN,11:29:00.000,14:04:00.000,02:35,0,No info,11700,Direct
Scoot,Denpasar (Bali),Singapore,Ngurah Rai International Airport,Singapore Changi Airport,DPS,SIN,DPS -> SIN,12:14:00.000,14:49:00.000,02:35,0,In-flight meal not included,9150,Direct
AirAsia,Denpasar (Bali),Singapore,Ngurah Rai International Airport,Singapore Changi Airport,DPS,SIN,DPS -> SIN,12:59:00.000,15:34:00.000,02:35,0,In-flight meal not included,8700,Direct
All Nippon Airways,Tokyo,Seoul,Tokyo Haneda Airport,Incheon International Airport,HND,ICN,HND -> ICN,10:36:00.000,13:06:00.000,02:30,0,Business class,22050,Direct
Japan Airlines,Tokyo,Seoul,Tokyo Haneda Airport,Incheon International Airport,HND,ICN,HND -> ICN,11:21:00.000,13:51:00.000,02:30,0,Business class,22300,Direct
Korean Air,Tokyo,Seoul,Tokyo Haneda Airport,Incheon International Airport,HND,ICN,HND -> ICN,12:06:00.000,14:36:00.000,02:30,0,Business class,21920,Direct
Asiana Airlines,Tokyo,Seoul,Tokyo Haneda Airport,Incheon International Airport,HND,ICN,HND -> ICN,12:51:00.000,15:21:00.000,02:30,0,No info,20070,Direct
T'way Air,Tokyo,Seoul,Tokyo Haneda Airport,Incheon International Airport,HND,ICN,HND -> ICN,13:36:00.000,16:06:00.000,02:30,0,In-flight meal not included,14440,Direct
Peach Aviation,Tokyo,Seoul,Tokyo Haneda Airport,Incheon International Airport,HND,ICN,HND -> ICN,14:21:00.000,16:51:00.000,02:30,0,No info,15110,Direct
All Nippon Airways,Seoul,Tokyo,Incheon International Airport,Tokyo Haneda Airport,ICN,HND,ICN -> HND,11:13:00.000,13:43:00.000,02:30,0,Business class,22050,Direct
Japan Airlines,Seoul,Tokyo,Incheon International Airport,Tokyo Haneda Airport,ICN,HND,ICN -> HND,11:58:00.000,14:28:00.000,02:30,0,Business class,22300,Direct
Korean Air,Seoul,Tokyo,Incheon International Airport,Tokyo Haneda Airport,ICN,HND,ICN -> HND,12:43:00.000,15:13:00.000,02:30,0,Business class,21920,Direct
Asiana Airlines,Seoul,Tokyo,Incheon International Airport,Tokyo Haneda Airport,ICN,HND,ICN -> HND,13:28:00.000,15:58:00.000,02:30,0,No info,20070,Direct
T'way Air,Seoul,Tokyo,Incheon International Airport,Tokyo Haneda Airport,ICN,HND,ICN -> HND,14:13:00.000,16:43:00.000,02:30,0,In-flight meal not included,14440,Direct
Peach Aviation,Seoul,Tokyo,Incheon International Airport,Tokyo Haneda Airport,ICN,HND,ICN -> HND,14:58:00.000,17:28:00.000,02:30,0,No info,15110,Direct
All Nippon Airways,Tokyo,Sydney,Tokyo Haneda Airport,Sydney Kingsford Smith Airport,HND,SYD,HND -> SYD,11:50:00.000,21:35:00.000,09:45,0,Business class,64050,Direct
Japan Airlines,Tokyo,Sydney,Tokyo Haneda Airport,Sydney Kingsford Smith Airport,HND,SYD,HND -> SYD,12:35:00.000,22:20:00.000,09:45,0,Business class,64300,Direct
Qantas Airways,Tokyo,Sydney,Tokyo Haneda Airport,Sydney Kingsford Smith Airport,HND,SYD,HND -> SYD,13:20:00.000,23:05:00.000,09:45,0,Business class,61500,Direct
Virgin Australia,Tokyo,Sydney,Tokyo Haneda Airport,Sydney Kingsford Smith Airport,HND,SYD,HND -> SYD,14:05:00.000,23:50:00.000,09:45,0,No info,55650,Direct
ZIPAIR Tokyo,Tokyo,Sydney,Tokyo Haneda Airport,Sydney Kingsford Smith Airport,HND,SYD,HND -> SYD,14:50:00.000,00:35:00.000,09:45,0,In-flight meal not included,44920,Direct
AirAsia X,Tokyo,Sydney,Tokyo Haneda Airport,Sydney Kingsford Smith Airport,HND,SYD,HND -> SYD,15:35:00.000,04:30:00.000,12:55,1,1 Long layover,42730,Connecting
All Nippon Airways,Sydney,Tokyo,Sydney Kingsford Smith Airport,Tokyo Haneda Airport,SYD,HND,SYD -> HND,12:27:00.000,22:12:00.000,09:45,0,Business class,64050,Direct
Japan Airlines,Sydney,Tokyo,Sydney Kingsford Smith Airport,Tokyo Haneda Airport,SYD,HND,SYD -> HND,13:12:00.000,22:57:00.000,09:45,0,Business class,64300,Direct
Qantas Airways,Sydney,Tokyo,Sydney Kingsford Smith Airport,Tokyo Haneda Airport,SYD,HND,SYD -> HND,13:57:00.000,23:42:00.000,09:45,0,Business class,61500,Direct
Virgin Australia,Sydney,Tokyo,Sydney Kingsford Smith Airport,Tokyo Haneda Airport,SYD,HND,SYD -> HND,14:42:00.000,00:27:00.000,09:45,0,No info,55650,Direct
ZIPAIR Tokyo,Sydney,Tokyo,Sydney Kingsford Smith Airport,Tokyo Haneda Airport,SYD,HND,SYD -> HND,15:27:00.000,01:12:00.000,09:45,0,In-flight meal not included,44920,Direct
AirAsia X,Sydney,Tokyo,Sydney Kingsford Smith Airport,Tokyo Haneda Airport,SYD,HND,SYD -> HND,16:12:00.000,05:07:00.000,12:55,1,1 Long layover,42730,Connecting
All Nippon Airways,Tokyo,Bangkok,Tokyo Haneda Airport,Suvarnabhumi Airport,HND,BKK,HND -> BKK,13:04:00.000,19:19:00.000,06:15,0,Business class,39900,Direct
Japan Airlines,Tokyo,Bangkok,Tokyo Haneda Airport,Suvarnabhumi Airport,HND,BKK,HND -> BKK,13:49:00.000,20:04:00.000,06:15,0,Business class,40150,Direct
Thai Airways,Tokyo,Bangkok,Tokyo Haneda Airport,Suvarnabhumi Airport,HND,BKK,HND -> BKK,14:34:00.000,20:49:00.000,06:15,0,Business class,36220,Direct
Thai AirAsia X,Tokyo,Bangkok,Tokyo Haneda Airport,Suvarnabhumi Airport,HND,BKK,HND -> BKK,15:19:00.000,00:24:00.000,09:05,1,In-flight meal not included,23550,Connecting
ZIPAIR Tokyo,Tokyo,Bangkok,Tokyo Haneda Airport,Suvarnabhumi Airport,HND,BKK,HND -> BKK,16:04:00.000,22:19:00.000,06:15,0,In-flight meal not included,28360,Direct
