HOTEL_NAME,HOTEL_RATING,CITY,HOTEL_TYPE,BREAKFAST_INCLUDED,WIFI_INCLUDED,PARKING_INCLUDED,FACILITY_1,FACILITY_2,FACILITY_3,FACILITY_4,FACILITY_5,HOTEL_PRICE
Seda Bonifacio Global City,4.4,Manila,4-star hotel,Breakfast available,Free Wi-Fi,Free parking,Club lounge,Rooftop bar,Pool,Fitness center,Meeting rooms,180
Shangri-La Mactan,4.6,Cebu,Beach resort,Free breakfast,Free Wi-Fi,Free parking,Marine sanctuary,Spa,Watersports,Kids club,Tennis,260
Radisson Blu Cebu,4.5,Cebu,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Infinity pool,Spa,Fitness center,Club lounge,Ballroom,190
Crimson Resort & Spa Mactan,4.6,Cebu,Beach resort,Free breakfast,Free Wi-Fi,Free parking,Private beach,Aum Spa,Infinity pool,Zip line,Kids club,240
Dusit Thani Mactan Cebu,4.4,Cebu,Resort hotel,Breakfast available,Free Wi-Fi,Free parking,Infinity pool,Spa,Fitness center,Kids zone,Waterfront bar,200
Fili Hotel at NUSTAR,4.5,Cebu,Integrated resort,Breakfast available,Free Wi-Fi,Free parking,Casino,Retail mall,Pool,Spa,Theater,280
Quest Hotel & Conference Center Cebu,4.3,Cebu,4-star hotel,Breakfast available,Free Wi-Fi,Free parking,Outdoor pool,Fitness center,Meeting rooms,Bar,Airport shuttle,120
Park Hyatt Saigon,4.7,Ho Chi Minh City,Luxury hotel,Free breakfast,Free Wi-Fi,Free parking,French colonial design,Spa,Outdoor pool,Fitness center,Afternoon tea,360
The Reverie Saigon,4.8,Ho Chi Minh City,Ultra-luxury hotel,Free breakfast,Free Wi-Fi,Valet parking,Skyline spa,Outdoor pool,Rolls-Royce fleet,Fitness center,Italian design,420
Hotel des Arts Saigon,4.6,Ho Chi Minh City,Boutique hotel,Breakfast available,Free Wi-Fi,Free parking,Rooftop pool,Art gallery,Spa,Fitness center,Library,220
Caravelle Saigon,4.5,Ho Chi Minh City,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Saigon Saigon bar,Spa,Pool,Executive lounge,Ballroom,210
Fusion Original Saigon Centre,4.5,Ho Chi Minh City,Lifestyle hotel,Free breakfast,Free Wi-Fi,Paid parking,Wellness sessions,Pool,Fitness center,Creative lounge,Grab & Go pantry,230
Mai House Saigon Hotel,4.5,Ho Chi Minh City,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Saltwater pool,Spa,Fitness center,Sky lounge,Event spaces,200
Sofitel Legend Metropole Hanoi,4.8,Hanoi,Heritage hotel,Free breakfast,Free Wi-Fi,Free parking,Bamboo pool,Spa,Historical bunker tour,Fitness center,French bakery,360
Capella Hanoi,4.8,Hanoi,Boutique luxury,Free breakfast,Free Wi-Fi,Valet parking,Opera-inspired design,Spa,Indoor pool,Butler service,Tea salon,420
JW Marriott Hotel Hanoi,4.6,Hanoi,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Lakeviews,Spa,Indoor pool,Fitness center,Executive lounge,250
Apricot Hotel,4.5,Hanoi,Boutique hotel,Breakfast available,Free Wi-Fi,Paid parking,Rooftop pool,Art gallery,Spa,Library,Lake view bar,180
Peridot Grand Luxury Boutique,4.6,Hanoi,Boutique hotel,Free breakfast,Free Wi-Fi,Paid parking,Infinity pool,Jacuzzi,Spa,Skyline lounge,Cooking classes,210
La Siesta Classic Ma May,4.5,Hanoi,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Spa,Rooftop bar,Movie lounge,Library,Airport shuttle,150
InterContinental Danang Sun Peninsula Resort,4.8,Da Nang,Luxury resort,Free breakfast,Free Wi-Fi,Free parking,Private beach,Spa,Cable car,Nature trails,Fine dining,520
Hilton Da Nang,4.5,Da Nang,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Rooftop lounge,Infinity pool,Spa,Fitness center,Meeting rooms,190
Hyatt Regency Danang Resort,4.6,Da Nang,Beach resort,Breakfast available,Free Wi-Fi,Free parking,Residences,Camp Hyatt,Spa,Fitness center,Multiple pools,260
Four Points by Sheraton Danang,4.4,Da Nang,4-star hotel,Breakfast available,Free Wi-Fi,Free parking,Rooftop bar,Infinity pool,Spa,Fitness center,Event rooms,170
TIA Wellness Resort,4.7,Da Nang,Wellness resort,Free breakfast,Free Wi-Fi,Free parking,Private pool villas,Wellness program,Spa,Yoga,Nutrition consult,380
Sala Danang Beach Hotel,4.5,Da Nang,Boutique hotel,Breakfast available,Free Wi-Fi,Free parking,Infinity pool,Sky bar,Spa,Fitness center,Co-working,150
Park Hyatt Tokyo,4.7,Tokyo,Luxury hotel,Breakfast available,Free Wi-Fi,Paid parking,New York Grill,Spa,Indoor pool,Fitness club,Skyline views,68000
Aman Tokyo,4.9,Tokyo,Luxury hotel,Free breakfast,Free Wi-Fi,Valet parking,Onsen spa,Infinity pool,Ikebana classes,Tea ceremony,Library,90000
The Ritz-Carlton Tokyo,4.8,Tokyo,5-star hotel,Breakfast available,Free Wi-Fi,Valet parking,Sky lobby,Spa,Indoor pool,Club lounge,Michelin dining,82000
Hotel Ryumeikan Tokyo,4.5,Tokyo,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Library lounge,Tea bar,Coin laundry,City views,Meeting room,21000
MUJI Hotel Ginza,4.4,Tokyo,Design hotel,Breakfast available,Free Wi-Fi,No parking,MUJI diner,Retail floors,Reading lounge,Art installations,Self check-in,26000
Mitsui Garden Hotel Nihonbashi,4.4,Tokyo,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Public bath,Lounge,Restaurant,Laundry room,24/7 desk,19000
Conrad Osaka,4.7,Osaka,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Sky lobby,Infinity pool,Spa,Fitness center,Art gallery,62000
The St. Regis Osaka,4.7,Osaka,5-star hotel,Free breakfast,Free Wi-Fi,Valet parking,Butler service,Rooftop garden,Spa,Fitness center,Afternoon tea,68000
InterContinental Osaka,4.6,Osaka,5-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Indoor pool,Spa,Fitness center,Club lounge,Kids program,54000
Swissotel Nankai Osaka,4.5,Osaka,5-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Train station access,Spa,Pool,Fitness center,Ballroom,38000
Hotel Nikko Osaka,4.4,Osaka,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Direct subway access,Restaurant floor,Business center,City views,Meeting rooms,26000
Cross Hotel Osaka,4.4,Osaka,Boutique hotel,Breakfast available,Free Wi-Fi,Paid parking,Atrium lobby,Onsen-style bath,Bar,Art space,Laundry,22000
Four Seasons Hotel Kyoto,4.8,Kyoto,Luxury hotel,Free breakfast,Free Wi-Fi,Valet parking,Shakusuien pond,Spa,Indoor pool,Tea house,Kids club,78000
The Ritz-Carlton Kyoto,4.8,Kyoto,5-star hotel,Breakfast available,Free Wi-Fi,Valet parking,Kamogawa views,Spa,Cycling program,Michelin dining,Art tour,75000
Hotel The Celestine Kyoto Gion,4.6,Kyoto,Boutique hotel,Breakfast available,Free Wi-Fi,Paid parking,Public bath,Tea lounge,Garden,Concierge,Restaurant,32000
Ace Hotel Kyoto,4.5,Kyoto,Lifestyle hotel,Breakfast available,Free Wi-Fi,No parking,Stumptown cafe,Gallery,Live music,Retail,Bike rentals,28000
Hyatt Regency Kyoto,4.5,Kyoto,5-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Spa,Fitness center,Tea lounge,Shuttle,Event rooms,36000
Solaria Nishitetsu Hotel Kyoto,4.4,Kyoto,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Public bath,Library lounge,Restaurant,Laundry,24h desk,21000
JR Tower Hotel Nikko Sapporo,4.5,Sapporo,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Observation spa,Fitness center,Direct station access,Restaurant,Bar,24000
Mercure Sapporo,4.3,Sapporo,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,French bistro,Fitness room,Meeting rooms,Laundry,Airport shuttle,15000
Royton Sapporo,4.2,Sapporo,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Indoor pool,Fitness center,Chapel,Ballroom,Business center,14000
Cross Hotel Sapporo,4.4,Sapporo,Boutique hotel,Breakfast available,Free Wi-Fi,Paid parking,Rooftop bath,Art lounge,Restaurant,Bar,Library,18000
Unwind Hotel & Bar,4.5,Sapporo,Boutique hotel,Free breakfast,Free Wi-Fi,No parking,Campfire lounge,Rooftop bar,Library,Welcome wine,Concierge,16000
Tokyu Stay Sapporo Odori,4.4,Sapporo,Serviced residence,Breakfast available,Free Wi-Fi,Paid parking,In-room washer,Kitchenette,Library,Work lounge,24h desk,13000
Signiel Seoul,4.8,Seoul,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Sky bar,Indoor pool,Spa,Fitness center,Butler service,520000
Four Seasons Hotel Seoul,4.7,Seoul,5-star hotel,Breakfast available,Free Wi-Fi,Valet parking,Nespresso lounge,Spa,Indoor pool,Executive lounge,Kids program,480000
The Shilla Seoul,4.7,Seoul,Luxury hotel,Free breakfast,Free Wi-Fi,Free parking,Urban resort pool,Jaju Spa,Duty-free,Fitness center,Nature trail,430000
Lotte Hotel Seoul,4.5,Seoul,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Club lounge,Indoor pool,Spa,Duty-free,Ballroom,320000
"RYSE, Autograph Collection",4.6,Seoul,Lifestyle hotel,Breakfast available,Free Wi-Fi,Paid parking,Art gallery,Recording studio,Fitness center,Bar,Coworking,220000
Glad Hotel Mapo,4.4,Seoul,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Business lounge,Gym,Restaurant,Laundry,Airport bus stop,160000
Park Hyatt Busan,4.7,Busan,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Haeundae views,Infinity pool,Spa,Fitness center,Yacht marina access,380000
Signiel Busan,4.8,Busan,Luxury hotel,Free breakfast,Free Wi-Fi,Valet parking,Ocean infinity pool,Spa,Kids lounge,Fitness center,Club lounge,420000
Ananti Hilton Busan,4.6,Busan,Resort hotel,Breakfast available,Free Wi-Fi,Free parking,Cliffside pools,Spa,Fitness center,Retail village,Kids program,310000
Lotte Hotel Busan,4.5,Busan,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Casino,Indoor pool,Spa,Fitness center,Shopping,260000
Shilla Stay Haeundae,4.4,Busan,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Rooftop pool,Lounge,Fitness center,Laundry,Meeting room,190000
Fairfield by Marriott Busan,4.3,Busan,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Beach access,Gym,Business center,Lobby bar,Tour desk,150000
The Peninsula Hong Kong,4.7,Hong Kong,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Rolls-Royce fleet,Spa,Indoor pool,Helipad,Afternoon tea,4500
Rosewood Hong Kong,4.8,Hong Kong,Ultra-luxury hotel,Free breakfast,Free Wi-Fi,Valet parking,Asaya spa,Infinity pool,Mansion lounge,Art collection,Harbor views,5200
Four Seasons Hotel Hong Kong,4.7,Hong Kong,5-star hotel,Breakfast available,Free Wi-Fi,Valet parking,Michelin dining,Infinity pool,Spa,Executive club,Harbor bar,4900
The Upper House,4.8,Hong Kong,Boutique luxury,Free breakfast,Free Wi-Fi,Valet parking,In-room yoga,Sky lounge,Art installations,24h gym,Complimentary minibar,4800
K11 Artus,4.7,Hong Kong,Serviced residence,Breakfast available,Free Wi-Fi,Paid parking,Residences,Infinity pool,Art library,Fitness center,Harbor terrace,4600
Ovolo Central,4.5,Hong Kong,Boutique hotel,Free breakfast,Free Wi-Fi,No parking,Social hour,24h gym,Self-serve laundry,Mini bar,Co-working,2100
Grand Hyatt Taipei,4.6,Taipei,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Outdoor pool,Spa,Fitness center,Event halls,Taipei 101 views,7800
W Taipei,4.6,Taipei,Lifestyle hotel,Breakfast available,Free Wi-Fi,Free parking,WET pool,WooBar,Spa,Fitness center,DJ nights,8200
Regent Taipei,4.5,Taipei,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Tai Pan lounge,Rooftop pool,Spa,Shopping gallery,Fitness center,7600
Hotel Proverbs Taipei,4.5,Taipei,Boutique hotel,Breakfast available,Free Wi-Fi,Paid parking,Rooftop pool,Bar,Restaurant,Design interiors,Concierge,6400
Kimpton Da An Taipei,4.5,Taipei,Boutique hotel,Free breakfast,Free Wi-Fi,Paid parking,Evening social,Borrow-a-bike,Fitness room,Library,Pet-friendly,6100
Humble House Taipei,4.4,Taipei,4-star hotel,Breakfast available,Free Wi-Fi,Free parking,Sky garden,Pool,Art gallery,Fitness center,Event rooms,5800
The Peninsula Shanghai,4.8,Shanghai,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Rooftop terrace,Spa,Pool,Vintage car fleet,Bund views,3600
Amanyangyun,4.9,Shanghai,Ultra-luxury resort,Free breakfast,Free Wi-Fi,Free parking,Camphor forest,Spa,Cultural center,Private villas,Outdoor pool,6200
The Middle House,4.7,Shanghai,Boutique luxury,Breakfast available,Free Wi-Fi,Free parking,Mi Xun spa,Pool,Fitness studio,Sky bar,Art collection,3000
Four Seasons Hotel Shanghai Pudong,4.6,Shanghai,5-star hotel,Breakfast available,Free Wi-Fi,Valet parking,Infinity pool,Spa,Executive club,Fitness center,Skyline views,3100
JW Marriott Marquis Shanghai Pudong,4.5,Shanghai,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Indoor pool,Spa,Fitness center,Event halls,Executive lounge,2700
Capella Shanghai Jian Ye Li,4.7,Shanghai,Heritage villas,Free breakfast,Free Wi-Fi,Free parking,Living room lounge,Spa,Library,Butler service,Courtyard,3800
Rosewood Beijing,4.7,Beijing,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Sense spa,Indoor pool,Fitness center,Club lounge,Art collection,3200
The Opposite House,4.7,Beijing,Boutique luxury,Free breakfast,Free Wi-Fi,Free parking,Atrium pool,Restaurants,Art exhibits,Fitness center,In-room bar,3000
China World Summit Wing,4.6,Beijing,5-star hotel,Breakfast available,Free Wi-Fi,Valet parking,Sky lobby,Infinity pool,Spa,Club lounge,Ballroom,3400
Waldorf Astoria Beijing,4.6,Beijing,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Spa,Indoor pool,Hutong courtyard,Fitness center,Tea lounge,3100
CHAO Sanlitun,4.5,Beijing,Lifestyle hotel,Free breakfast,Free Wi-Fi,Paid parking,Co-working,Library,Gallery,Fitness center,Event spaces,2600
Hotel Eclat Beijing,4.6,Beijing,Art hotel,Breakfast available,Free Wi-Fi,Paid parking,Glass pyramid,Art collection,Fitness center,Butler service,Restaurant,2500
Four Seasons Hotel Shenzhen,4.6,Shenzhen,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Executive lounge,Indoor pool,Spa,Fitness center,Event halls,2600
Andaz Shenzhen Bay,4.6,Shenzhen,Luxury lifestyle,Free breakfast,Free Wi-Fi,Free parking,Rooftop bar,Art installations,Pool,Spa,Fitness center,3000
The Ritz-Carlton Shenzhen,4.6,Shenzhen,5-star hotel,Breakfast available,Free Wi-Fi,Valet parking,Club lounge,Outdoor pool,Spa,Fitness center,Ballroom,2800
Mandarin Oriental Shenzhen,4.8,Shenzhen,Luxury hotel,Free breakfast,Free Wi-Fi,Valet parking,Sky lobby,Spa,Indoor pool,Butler service,Gastronomy suites,3600
Hyatt Regency Shenzhen Airport,4.5,Shenzhen,Airport hotel,Breakfast available,Free Wi-Fi,Free parking,Indoor pool,Spa,Fitness center,Meeting rooms,24h dining,1700
MUJI Hotel Shenzhen,4.4,Shenzhen,Design hotel,Breakfast available,Free Wi-Fi,Paid parking,MUJI diner,Library,Retail,Coworking,Laundry,1900
The Temple House,4.8,Chengdu,Boutique luxury,Free breakfast,Free Wi-Fi,Paid parking,Spa,Courtyard,Tea house,Art gallery,Indoor pool,2600
Waldorf Astoria Chengdu,4.7,Chengdu,Luxury hotel,Breakfast available,Free Wi-Fi,Free parking,Sky lobby,Spa,Indoor pool,Fitness center,Ballroom,2800
Niccolo Chengdu,4.6,Chengdu,Luxury hotel,Breakfast available,Free Wi-Fi,Free parking,Skyline bar,Spa,Pool,Fitness center,Event spaces,2500
Maison Albar Hotels Le Chappele,4.5,Chengdu,Boutique hotel,Breakfast available,Free Wi-Fi,Paid parking,Indoor pool,Spa,Tea lounge,Fitness center,Library,2100
Canopy by Hilton Chengdu,4.5,Chengdu,Lifestyle hotel,Free breakfast,Free Wi-Fi,Paid parking,Complimentary bikes,Fitness center,Evening tastings,Library,Laundry,1800
Holiday Inn Chengdu Oriental Plaza,4.3,Chengdu,4-star hotel,Breakfast available,Free Wi-Fi,Free parking,Indoor pool,Fitness center,Meeting rooms,Restaurant,Business center,1200
Park Hyatt Sydney,4.8,Sydney,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Harbour view pool,Spa,Fitness center,Art collection,Butler service,980
The Langham Sydney,4.7,Sydney,5-star hotel,Free breakfast,Free Wi-Fi,Valet parking,Day spa,Indoor pool,Afternoon tea,Fitness center,Tennis court,720
Shangri-La Sydney,4.6,Sydney,5-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Altitude restaurant,Chi spa,Health club,Club lounge,Harbour views,520
QT Sydney,4.5,Sydney,Boutique hotel,Breakfast available,Free Wi-Fi,Valet parking,Gowings bar,SpaQ,Art deco design,Fitness center,Event spaces,410
Ovolo Woolloomooloo,4.6,Sydney,Lifestyle hotel,Free breakfast,Free Wi-Fi,Paid parking,Indoor pool,Lo lounge,Free minibar,Fitness center,Bikes,390
Little National Hotel Sydney,4.5,Sydney,Boutique hotel,Breakfast available,Free Wi-Fi,No parking,Rooftop lounge,Gym access,Coworking,Self check-in,Tea & coffee,260
Crown Towers Melbourne,4.7,Melbourne,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Crystal Club,Indoor pool,Spa,Retail arcade,Casino access,620
The Westin Melbourne,4.6,Melbourne,5-star hotel,Breakfast available,Free Wi-Fi,Valet parking,Wellness level,Spa,Pool,Fitness center,High tea,480
W Melbourne,4.6,Melbourne,Lifestyle hotel,Breakfast available,Free Wi-Fi,Valet parking,WET pool,FIT gym,Lollo restaurant,Curated art,Recording studio,510
The Langham Melbourne,4.6,Melbourne,5-star hotel,Breakfast available,Free Wi-Fi,Valet parking,Chuan spa,Rooftop pool,Afternoon tea,Club lounge,Riverside views,470
Ovolo South Yarra,4.5,Melbourne,Boutique hotel,Free breakfast,Free Wi-Fi,Paid parking,Social hour,Gym,Art installations,Self laundry,Bikes,300
The Jazz Corner Hotel,4.4,Melbourne,Aparthotel,Breakfast available,Free Wi-Fi,Paid parking,Kitchenettes,City views,Fitness center,Restaurant,Live jazz,260
W Brisbane,4.6,Brisbane,Lifestyle hotel,Breakfast available,Free Wi-Fi,Valet parking,WET pool,AWAY spa,FIT gym,Living Room bar,River views,420
Emporium Hotel South Bank,4.7,Brisbane,Luxury hotel,Free breakfast,Free Wi-Fi,Valet parking,Infinity pool,Piano bar,Spa,Fitness center,Butler service,460
The Calile Hotel,4.6,Brisbane,Design hotel,Breakfast available,Free Wi-Fi,Paid parking,Resort pool,Wellness studio,Retail,Restaurants,Event spaces,390
Hilton Brisbane,4.4,Brisbane,5-star hotel,Breakfast available,Free Wi-Fi,Valet parking,Outdoor pool,Tennis court,Fitness center,Executive lounge,Meeting rooms,320
Crystalbrook Vincent,4.5,Brisbane,Lifestyle hotel,Breakfast available,Free Wi-Fi,Paid parking,Rooftop pool,Art collection,Gym,Bar,Free bikes,300
The Inchcolm by Ovolo,4.5,Brisbane,Boutique hotel,Free breakfast,Free Wi-Fi,Paid parking,Salon bar,Library,Gym,Self laundry,Meeting room,280
COMO The Treasury,4.8,Perth,Luxury hotel,Free breakfast,Free Wi-Fi,Valet parking,Shambhala spa,Indoor pool,Butler service,Restaurants,Heritage tours,650
The Ritz-Carlton Perth,4.7,Perth,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Infinity pool,Spa,Fitness center,Club lounge,River views,580
Crown Towers Perth,4.6,Perth,Luxury hotel,Breakfast available,Free Wi-Fi,Paid parking,Lagoon pools,Spa,Fitness center,Pool cabanas,Casino access,520
QT Perth,4.5,Perth,Boutique hotel,Breakfast available,Free Wi-Fi,Paid parking,Rooftop bar,Gym,Event spaces,Restaurant,Art installations,320
DoubleTree by Hilton Perth Northbridge,4.4,Perth,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Rooftop pool,Fitness center,Meeting rooms,Restaurant,Lounge,210
Vibe Hotel Subiaco,4.3,Perth,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Rooftop bar,Pool,Fitness center,Coworking,Restaurant,200
Park Hyatt Auckland,4.7,Auckland,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Harbour pool,Spa,Fitness center,Club lounge,Event spaces,560
Cordis Auckland,4.6,Auckland,5-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Chuan spa,Rooftop pool,Kids club,Club lounge,City shuttle,420
The Hotel Britomart,4.6,Auckland,Sustainable hotel,Breakfast available,Free Wi-Fi,No parking,Wellness concierge,Retail,Art installations,Library,Restaurant,310
SO/ Auckland,4.5,Auckland,Lifestyle hotel,Breakfast available,Free Wi-Fi,Valet parking,Harbour views,Infinity pool,Spa,Fitness center,Club lounge,380
QT Auckland,4.5,Auckland,Boutique hotel,Breakfast available,Free Wi-Fi,Paid parking,Rooftop bar,Art-filled rooms,Gym,Restaurant,Meeting rooms,320
